 train       observed       predicted
 y     1.489222E+01     1.365617E+01
 y     1.223077E+01     1.183639E+01
 y     1.062135E+01     1.137230E+01
 y     1.164396E+01     1.155943E+01
 y     1.096822E+01     1.064588E+01
 y     1.306580E+01     1.312011E+01
 y     1.226905E+01     1.183427E+01
 y     1.223077E+01     1.152026E+01
 y     1.177530E+01     1.176885E+01
 y     1.374294E+01     1.334415E+01
 y     1.256898E+01     1.218533E+01
 y     1.108216E+01     1.133699E+01
 y     1.244902E+01     1.233577E+01
 y     1.338473E+01     1.336964E+01
 y     1.267608E+01     1.281305E+01
 y     1.208673E+01     1.171852E+01
 y     1.165270E+01     1.171182E+01
 y     1.250618E+01     1.234054E+01
 y     1.218076E+01     1.256334E+01
 y     1.243321E+01     1.256633E+01
 y     1.135628E+01     1.147340E+01
 y     1.204356E+01     1.201643E+01
 y     1.176758E+01     1.086190E+01
 y     1.151294E+01     1.064731E+01
 y     1.260149E+01     1.274877E+01
 y     1.059666E+01     1.147362E+01
 y     1.140758E+01     1.192110E+01
 y     1.287390E+01     1.287709E+01
 y     1.202276E+01     1.232411E+01
 y     1.227840E+01     1.218543E+01
 y     1.149477E+01     1.125000E+01
 y     1.231941E+01     1.237880E+01
 y     1.486283E+01     1.399470E+01
 y     1.207255E+01     1.241572E+01
 y     1.177530E+01     1.211547E+01
 y     1.008585E+01     1.058736E+01
 y     1.260149E+01     1.241938E+01
 y     1.233271E+01     1.208405E+01
 y     1.296454E+01     1.268355E+01
 y     1.273817E+01     1.301845E+01
 y     1.197352E+01     1.120962E+01
 y     1.184940E+01     1.171111E+01
 y     1.219096E+01     1.204780E+01
 y     1.270685E+01     1.277141E+01
 y     1.055844E+01     1.111077E+01
 y     1.198294E+01     1.159398E+01
 y     1.230139E+01     1.219253E+01
 y     1.252453E+01     1.248658E+01
 y     1.270685E+01     1.284089E+01
 y     1.210072E+01     1.201481E+01
 y     1.064545E+01     1.140854E+01
 y     1.373213E+01     1.351836E+01
 y     1.254255E+01     1.263189E+01
 y     1.184737E+01     1.183317E+01
 y     1.100212E+01     1.138089E+01
 y     1.270685E+01     1.276037E+01
 y     1.166566E+01     1.277273E+01
 y     1.259473E+01     1.277359E+01
 y     1.183139E+01     1.193049E+01
 y     1.235665E+01     1.217277E+01
 y     1.248749E+01     1.276879E+01
 y     1.188450E+01     1.206579E+01
 y     1.261653E+01     1.230745E+01
 y     1.187061E+01     1.094551E+01
 y     9.825580E+00     1.072329E+01
 y     1.135042E+01     1.138399E+01
 y     1.197667E+01     1.200548E+01
 y     1.284529E+01     1.335358E+01
 y     1.177530E+01     1.190808E+01
 y     1.294801E+01     1.284087E+01
 y     1.185652E+01     1.203793E+01
