 train         node      observed        predicted
     y          302    0.116886E+002    0.122034E+002
     y          302    0.118130E+002    0.122867E+002
     y          302    0.122308E+002    0.123933E+002
     y          303    0.116553E+002    0.121962E+002
     y          511    0.132621E+002    0.127901E+002
     y           22    0.104612E+002    0.117669E+002
     y           60    0.111563E+002    0.113922E+002
     y          146    0.138785E+002    0.139201E+002
     y          511    0.125425E+002    0.123450E+002
     y          245    0.105187E+002    0.106657E+002
     y          511    0.107790E+002    0.125715E+002
     y          302    0.119181E+002    0.119992E+002
     y          298    0.135131E+002    0.132458E+002
     y          297    0.126115E+002    0.128464E+002
     y          303    0.125776E+002    0.123590E+002
     y          150    0.122900E+002    0.123839E+002
     y           72    0.129239E+002    0.132328E+002
     y          303    0.107790E+002    0.117595E+002
     y           29    0.104631E+002    0.109412E+002
     y          299    0.124086E+002    0.118865E+002
     y          511    0.128992E+002    0.125211E+002
     y          302    0.130170E+002    0.130606E+002
     y          302    0.110104E+002    0.121899E+002
     y          303    0.129598E+002    0.120105E+002
     y          298    0.125062E+002    0.125047E+002
     y          303    0.119184E+002    0.124411E+002
     y          150    0.116082E+002    0.116833E+002
     y          302    0.992823E+001    0.115223E+002
     y          302    0.116869E+002    0.115223E+002
     y          150    0.110822E+002    0.114758E+002
     y          297    0.127219E+002    0.127654E+002
     y          303    0.116527E+002    0.111690E+002
     y          303    0.119184E+002    0.115806E+002
     y          303    0.124684E+002    0.122505E+002
     y          511    0.131123E+002    0.127564E+002
     y          150    0.123009E+002    0.116590E+002
     y          511    0.129622E+002    0.127076E+002
     y          303    0.112645E+002    0.117445E+002
     y          303    0.118494E+002    0.117931E+002
     y          303    0.123009E+002    0.120493E+002
     y          150    0.968041E+001    0.103832E+002
     y          296    0.117714E+002    0.103960E+002
     y          247    0.120839E+002    0.116408E+002
     y          247    0.120553E+002    0.116408E+002
     y          302    0.107144E+002    0.116521E+002
     y           29    0.108968E+002    0.111934E+002
     y          298    0.124987E+002    0.126461E+002
     y          146    0.136933E+002    0.135711E+002
     y          511    0.123673E+002    0.125974E+002
     y          297    0.130498E+002    0.130085E+002
     y          303    0.110822E+002    0.118890E+002
     y          303    0.126149E+002    0.118200E+002
     y          303    0.119512E+002    0.110485E+002
     y          303    0.115357E+002    0.123219E+002
     y          296    0.103735E+002    0.105071E+002
     y          150    0.105942E+002    0.114293E+002
     y          299    0.132357E+002    0.123688E+002
     y          297    0.121548E+002    0.120357E+002
     y          511    0.131692E+002    0.126508E+002
     y          299    0.125602E+002    0.123675E+002
     y          296    0.999884E+001    0.101897E+002
     y          506    0.120720E+002    0.117638E+002
     y          303    0.122835E+002    0.122806E+002
     y          302    0.121548E+002    0.121395E+002
     y          297    0.123502E+002    0.123092E+002
     y          146    0.140779E+002    0.130126E+002
     y          511    0.121007E+002    0.121817E+002
     y          303    0.126916E+002    0.129761E+002
     y          302    0.121007E+002    0.112100E+002
     y          302    0.115899E+002    0.113071E+002
     y          299    0.125707E+002    0.125290E+002
     y          296    0.108198E+002    0.108906E+002
     y           27    0.130273E+002    0.122639E+002
     y           72    0.135076E+002    0.133735E+002
     y          150    0.989853E+001    0.105732E+002
     y          511    0.123884E+002    0.121434E+002
     y          303    0.124212E+002    0.126117E+002
     y          302    0.120317E+002    0.117947E+002
     y          297    0.126603E+002    0.126425E+002
     y          297    0.132759E+002    0.130777E+002
     y          146    0.133555E+002    0.132473E+002
     y          147    0.131853E+002    0.134155E+002
     y           29    0.108198E+002    0.110326E+002
     y          302    0.122501E+002    0.115790E+002
     y          303    0.110021E+002    0.117055E+002
     y          303    0.127513E+002    0.129532E+002
     y          299    0.129190E+002    0.124110E+002
